Date,Open,High,Low,Close,Adj Close,Volume
2020-08-31,154.339996,165.229996,137.889999,144.149994,144.149994,28353100
2020-09-07,136.000000,146.100006,135.279999,139.509995,139.509995,16126300
2020-09-14,143.990005,151.240005,141.854996,147.550003,147.550003,13829700
2020-09-21,143.000000,157.800003,142.406006,155.289993,155.289993,16144100
2020-09-28,159.000000,162.000000,153.860001,155.360001,155.360001,14520200
2020-10-05,158.880005,172.500000,155.210007,172.119995,172.119995,19250500
2020-10-12,175.000000,176.899994,161.839996,165.199997,165.199997,11475600
2020-10-19,165.419998,172.119995,158.789993,162.960007,162.960007,11618800
2020-10-26,160.399994,172.449997,155.330002,157.699997,157.699997,13229200
2020-11-02,160.399994,187.750000,157.550003,186.789993,186.789993,13023000
2020-11-09,176.160004,183.660004,155.100006,181.440002,181.440002,26521600
2020-11-16,178.699997,187.179993,165.000000,183.110001,183.110001,21593600
2020-11-23,183.000000,185.000000,173.699997,182.550003,182.550003,10482700
2020-11-30,183.000000,203.423004,173.910004,198.779999,198.779999,25802400
2020-12-07,200.000000,212.330002,190.250000,193.380005,193.380005,23409400
2020-12-14,195.000000,200.850006,186.000000,200.350006,200.350006,15077300
2020-12-21,197.000000,202.412003,191.800003,193.179993,193.179993,8412400
2020-12-28,193.250000,199.119995,178.800003,199.050003,199.050003,15256600
2021-01-04,200.750000,213.600006,191.869995,210.160004,210.160004,18851400
2021-01-11,209.000000,237.270004,206.889999,226.050003,226.050003,19328700
2021-01-18,232.449997,238.419998,226.050003,236.490005,236.490005,8359400
2021-01-25,240.000000,240.440002,203.059998,216.710007,216.710007,23792400
2021-02-01,222.970001,258.640015,222.970001,256.760010,256.760010,17664900
2021-02-08,258.690002,281.769989,258.309998,276.119995,276.119995,16979100
2021-02-15,281.920013,285.000000,255.149994,280.000000,280.000000,13579300
2021-02-22,272.769989,273.010010,225.000000,235.690002,235.690002,27422700
2021-03-01,250.750000,276.019989,209.229996,229.759995,229.759995,37941600
2021-03-08,227.210007,239.500000,204.830002,234.990005,234.990005,30743600
2021-03-15,227.500000,242.380005,209.000000,214.899994,214.899994,22004800
2021-03-22,218.389999,223.250000,189.610001,209.240005,209.240005,26095100
2021-03-29,208.729996,240.000000,199.779999,236.449997,236.449997,19140500
2021-04-05,239.509995,258.600006,230.529999,250.929993,250.929993,17410900
2021-04-12,247.809998,254.369995,239.399994,252.419998,252.419998,13757000
2021-04-19,249.289993,261.549988,228.220001,258.589996,258.589996,16051000
2021-04-26,259.850006,278.000000,252.100006,252.539993,252.539993,13016900
2021-05-03,256.000000,259.709991,234.199997,240.279999,240.279999,16282900
2021-05-10,234.990005,234.990005,200.000000,216.690002,216.690002,25384900
2021-05-17,216.740005,250.250000,203.960007,246.330002,246.330002,28104400
2021-05-24,249.500000,261.500000,241.449997,253.240005,253.240005,18270600
2021-05-31,257.700012,262.890015,248.604996,256.820007,256.820007,8576400
2021-06-07,256.380005,278.519989,253.199997,277.690002,277.690002,14278400
2021-06-14,278.880005,286.600006,264.369995,282.489990,282.489990,14743100
2021-06-21,279.029999,297.750000,272.940002,283.350006,283.350006,13811700
2021-06-28,284.540009,289.980011,269.769989,273.700012,273.700012,15316500
2021-07-05,275.000000,279.230011,253.029999,275.700012,275.700012,10364700
2021-07-12,277.920013,288.424988,264.519989,267.600006,267.600006,8768400
2021-07-19,260.130005,300.000000,260.000000,297.670013,297.670013,11203400
2021-07-26,294.679993,295.380005,255.751007,276.160004,276.160004,19352800
2021-08-02,279.795013,307.489990,276.410004,302.720001,302.720001,13132800
2021-08-09,303.230011,315.000000,292.600006,306.709991,306.709991,10119800
2021-08-16,305.000000,328.350006,285.750000,309.329987,309.329987,25906800
2021-08-23,311.940002,325.630005,306.230011,321.029999,321.029999,13383500
2021-08-30,325.000000,353.885010,324.040009,353.359985,353.359985,24716700
2021-09-06,357.529999,359.839996,317.309998,325.500000,325.500000,26687500
2021-09-13,327.700012,347.440002,315.529999,339.809998,339.809998,18514600
2021-09-20,327.480011,344.640015,321.190002,340.410004,340.410004,13645100
2021-09-27,340.640015,340.779999,308.559998,319.559998,319.559998,17785100
2021-10-04,317.279999,332.559998,308.779999,323.279999,323.279999,11422700
2021-10-11,320.000000,357.480011,315.579987,354.500000,354.500000,14956100
2021-10-18,353.750000,372.700012,352.130005,355.299988,355.299988,11587800
2021-10-25,354.589996,354.929993,335.440002,343.570007,343.570007,14372900
2021-11-01,345.019989,366.320007,342.739990,357.779999,357.779999,10891600
2021-11-08,358.410004,363.809998,330.190002,341.290009,341.290009,15634900
2021-11-15,345.000000,355.989990,296.290009,309.989990,309.989990,30235500
2021-11-22,309.000000,312.829987,272.579987,296.820007,296.820007,25796200
2021-11-29,302.670013,307.859985,242.649994,253.440002,253.440002,42878500
2021-12-06,248.440002,267.579987,233.259995,237.940002,237.940002,27156400
2021-12-13,232.220001,241.220001,201.130005,212.800003,212.800003,32312900
2021-12-20,205.000000,228.789993,202.580002,222.050003,222.050003,18209200
2021-12-27,224.580002,227.585007,210.860001,223.710007,223.710007,13031800
2022-01-03,230.710007,231.210007,177.970001,187.100006,187.100006,58751200
2022-01-10,183.800003,206.380005,168.000000,175.029999,175.029999,42740300
2022-01-17,173.000000,180.610001,153.210007,154.410004,154.410004,33548300
2022-01-24,146.100006,151.660004,119.410004,136.619995,136.619995,63792300
2022-01-31,139.479996,160.000000,137.199997,155.020004,155.020004,39412200
2022-02-07,152.009995,175.360001,151.809998,158.279999,158.279999,36963500
2022-02-14,139.089996,149.800003,125.059998,127.690002,127.690002,68845100
2022-02-21,125.599998,138.770996,111.500000,137.460007,137.460007,41531400
2022-02-28,140.970001,150.979996,96.190002,97.440002,97.440002,97277000
2022-03-07,95.760002,104.254997,86.349998,91.040001,91.040001,52469300
2022-03-14,88.959999,124.660004,85.010002,122.540001,122.540001,51516300
2022-03-21,119.070000,131.369995,111.539001,116.120003,116.120003,33950200
2022-03-28,111.910004,131.399994,109.669998,121.099998,121.099998,36951900
2022-04-04,126.000000,136.429993,112.955002,114.419998,114.419998,27804900
2022-04-11,113.800003,118.489998,106.650002,108.580002,108.580002,19152800
2022-04-18,107.260002,108.834999,87.199997,87.620003,87.620003,27542100
2022-04-25,85.500000,92.180000,79.669998,82.760002,82.760002,28615400
2022-05-02,80.279999,90.379997,74.000000,76.199997,76.199997,30286200
2022-05-09,72.750000,76.000000,54.060001,75.400002,75.400002,75479800
2022-05-16,72.199997,83.209999,69.330002,79.660004,79.660004,61892100
2022-05-23,78.949997,84.230003,70.610001,82.860001,82.860001,33678500
2022-05-30,87.019997,89.739998,77.650002,78.760002,78.760002,29780200
2022-06-06,81.849998,89.919998,74.470001,76.279999,76.279999,34136800
2022-06-13,71.889999,77.459999,67.900002,70.199997,70.199997,30647200
2022-06-20,72.050003,81.120003,69.670998,80.470001,80.470001,20962600
2022-06-27,81.400002,81.809998,65.209999,69.059998,69.059998,26963600
2022-07-04,67.565002,79.540001,66.190002,77.519997,77.519997,20734700
2022-07-11,75.989998,76.000000,66.519997,69.150002,69.150002,18042300
2022-07-18,71.389999,84.489998,68.870003,77.320000,77.320000,31042200
2022-07-25,77.540001,78.651001,71.279999,76.320000,76.320000,20412500
2022-08-01,75.309998,89.550003,74.105003,87.570000,87.570000,23831900
2022-08-08,88.080002,93.699997,82.070000,88.709999,88.709999,25810500
2022-08-15,88.839996,92.349998,66.529999,67.669998,67.669998,79922900
2022-08-22,65.849998,68.550003,62.150002,63.820000,63.820000,37242200
2022-08-29,62.180000,64.330002,58.646000,59.930000,59.930000,28857800
2022-09-05,58.250000,64.209999,55.759998,63.470001,63.470001,23983500
2022-09-12,64.000000,66.464996,57.720001,59.009998,59.009998,23986400
2022-09-19,57.279999,59.759998,52.380001,53.810001,53.810001,25944700
2022-09-26,53.290001,57.200001,53.000000,56.049999,56.049999,29627000
2022-10-03,55.345001,62.560001,53.299999,60.049999,60.049999,26416400
2022-10-10,58.810001,59.619999,50.790001,51.070000,51.070000,29324800
2022-10-17,52.270000,55.619999,44.250000,46.180000,46.180000,28620500
2022-10-24,44.360001,53.009998,42.709999,49.540001,49.540001,23623400
2022-10-31,49.580002,52.090000,43.720001,44.009998,44.009998,22535100
2022-11-07,46.259998,50.740002,40.665001,49.430000,49.430000,35782800
2022-11-14,50.700001,65.650002,44.950001,56.939999,56.939999,79183800
2022-11-21,56.000000,57.410000,51.759998,54.320000,54.320000,16479600
2022-11-28,54.320000,63.070000,52.810001,61.380001,61.380001,28304400
2022-12-05,62.000000,63.400002,57.360001,60.650002,60.650002,21983500
2022-12-12,60.650002,68.769997,53.009998,53.689999,53.689999,27075700
2022-12-19,53.799999,54.980000,48.029999,49.919998,49.919998,23773800
2022-12-26,48.520000,53.160000,47.576000,52.029999,52.029999,15444400
2023-01-02,53.150002,56.250000,51.150002,55.689999,55.689999,14855000
2023-01-09,56.549999,60.450001,51.265999,60.119999,60.119999,23238200
2023-01-16,60.279999,68.650002,60.009998,65.860001,65.860001,25300700
2023-01-23,67.000000,69.410004,61.360001,68.550003,68.550003,21834300
2023-01-30,66.779999,74.682999,63.820000,70.470001,70.470001,23627500
2023-02-06,69.000000,71.180000,63.799999,64.000000,64.000000,16986800
2023-02-13,63.660000,69.769997,61.700001,65.010002,65.010002,21484000
2023-02-20,63.009998,65.129997,57.950001,60.009998,60.009998,17969000
2023-02-27,60.700001,66.029999,59.840000,65.669998,65.669998,17650100
2023-03-06,66.339996,81.519997,64.699997,73.449997,73.449997,89355000
2023-03-13,72.000000,79.650002,71.080002,78.400002,78.400002,21185600
2023-03-20,77.160004,85.199997,75.529999,82.379997,82.379997,24959600
2023-03-27,82.489998,87.877998,81.400002,86.550003,86.550003,21408600
2023-04-03,87.260002,88.839996,82.320000,84.080002,84.080002,14306600
2023-04-10,82.570000,85.309998,80.379997,83.519997,83.519997,15070400
2023-04-17,83.839996,84.305000,77.669998,79.169998,79.169998,13162100
2023-04-24,79.160004,80.769997,72.809998,76.169998,76.169998,14277000
2023-05-01,75.110001,79.449997,73.010002,78.410004,78.410004,10137200
2023-05-08,85.000000,87.379997,82.379997,84.769997,84.769997,20243100
2023-05-15,86.120003,88.389999,69.440002,69.440002,69.440002,52651500
2023-05-22,70.000000,70.260002,59.520000,60.119999,60.119999,36965800
2023-05-29,60.720001,61.270000,56.049999,59.389999,59.389999,26923900
2023-06-05,58.759998,64.970001,58.009998,63.380001,63.380001,23380300
2023-06-12,63.990002,66.389999,61.330002,62.080002,62.080002,23284700
2023-06-19,61.130001,62.410000,57.770000,58.910000,58.910000,13107300
2023-06-26,58.650002,58.860001,56.230000,58.040001,58.040001,23165400
2023-07-03,58.500000,59.500000,54.340000,54.980000,54.980000,16167300
2023-07-10,54.650002,63.750000,54.380001,62.500000,62.500000,25997400
2023-07-17,62.230000,63.900002,59.709999,61.180000,61.180000,15525900
2023-07-24,60.040001,63.845001,59.220001,63.720001,63.720001,19440400
2023-07-31,65.680000,67.080002,59.013000,59.439999,59.439999,21820500
2023-08-07,59.790001,60.080002,56.139999,57.619999,57.619999,24506900
2023-08-14,56.540001,57.080002,37.330002,38.680000,38.680000,106010600
2023-08-21,38.549999,38.900002,34.869999,36.169998,36.169998,52481800
2023-08-28,36.570000,39.290001,36.380001,38.520000,38.520000,34128400
2023-09-04,37.630001,40.119999,37.119999,38.250000,38.250000,29681600
2023-09-11,39.080002,40.450001,37.400002,39.279999,39.279999,28450800
2023-09-18,38.770000,38.970001,35.060001,35.959999,35.959999,33927700
2023-09-25,36.369999,44.959999,36.189999,43.950001,43.950001,82195100
2023-10-02,42.880001,44.660000,40.150002,42.410000,42.410000,33149500
2023-10-09,41.400002,47.189999,40.720001,45.570000,45.570000,35102900
2023-10-16,45.110001,48.389999,43.529999,44.610001,44.610001,24886600
2023-10-23,43.779999,46.610001,39.669998,39.970001,39.970001,24738700
2023-10-30,40.590000,45.111000,39.119999,44.790001,44.790001,21639800
2023-11-06,45.919998,46.330002,42.270000,45.480000,45.480000,24558400
2023-11-13,45.500000,46.599998,35.590000,37.570000,37.570000,92510400
2023-11-20,37.500000,38.730000,36.259998,36.380001,36.380001,30195300
2023-11-27,36.500000,40.299999,35.650002,37.480000,37.480000,59462300
2023-12-04,37.099998,40.130001,36.820000,40.000000,40.000000,38464400
2023-12-11,35.549999,38.700001,35.200001,35.740002,35.740002,74988800
2023-12-18,35.799999,39.525002,35.070000,38.580002,38.580002,62901600
2023-12-25,38.680000,41.898998,38.299999,40.500000,40.500000,32544000
2024-01-01,40.000000,40.189999,37.450001,37.910000,37.910000,25323300
2024-01-08,37.630001,39.049999,35.799999,35.889999,35.889999,29789900
2024-01-15,35.430000,36.430000,34.349998,36.400002,36.400002,28183100
2024-01-22,36.020000,40.330002,35.639999,39.570000,39.570000,30374800
2024-01-29,39.540001,42.540001,38.105000,42.020000,42.020000,34195400
2024-02-05,41.169998,43.849998,41.050999,43.509998,43.509998,28278900
2024-02-12,43.709999,46.060001,41.599998,44.990002,44.990002,24760000
2024-02-19,45.450001,45.981998,43.270000,45.020000,45.020000,19617900
2024-02-26,44.830002,51.459999,44.709999,51.049999,51.049999,42176100
2024-03-04,56.000000,60.134998,49.764000,57.720001,57.720001,76896700
2024-03-11,57.740002,63.250000,57.450001,58.130001,58.130001,32567700
2024-03-18,58.580002,59.400002,54.169998,54.470001,54.470001,23777100
2024-03-25,55.000000,56.689999,52.419998,53.709999,53.709999,21042400
2024-04-01,53.950001,56.165001,52.520000,55.279999,55.279999,24789200
2024-04-08,55.310001,58.473000,53.209999,53.279999,53.279999,20619800
2024-04-15,53.330002,58.119999,51.702999,55.060001,55.060001,31610000
2024-04-22,58.840000,64.504997,57.700001,62.860001,62.860001,37780000
2024-04-29,63.500000,67.000000,61.520000,66.660004,66.660004,27137100
2024-05-06,67.000000,67.239998,63.180000,64.910004,64.910004,31032400
2024-05-13,64.709999,74.330002,63.150002,73.760002,73.760002,51531900
2024-05-20,72.120003,74.038002,70.449997,71.980003,71.980003,21610600
2024-05-27,68.160004,69.699997,65.730003,67.519997,67.519997,19706100
2024-06-03,67.879997,72.800003,67.809998,72.470001,72.470001,19535100
2024-06-10,72.029999,75.588997,71.900002,74.419998,74.419998,19981000
2024-06-14,73.845001,74.529999,73.169998,74.419998,74.419998,2999503
